OPEID,PELLID,NAME,State,,Awards,Recipients
02616700,026167,SCOTTSDALE CULINARY INSTITUTE,AZ,2004,"2,283,727",951
02146600,015001,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,2004,"3,170,284","1,545"
03593300,035933,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,2004,"155,568",78
00711300,007113,SOUTHWESTERN COLLEGE,AZ,2004,"245,609",96
01168900,014127,THE REFRIGERATION SCHOOL,AZ,2004,"644,152",293
02561900,025619,TONI AND GUY HAIRDRESSING ACADEMY,AZ,2004,"300,627",126
00446700,014212,TUCSON COLLEGE,AZ,2004,"1,247,542",518
03740500,037405,TUCSON DESIGN COLLEGE,AZ,2004,"162,663",79
03814300,038143,TURNING POINT BEAUTY COLLEGE,AZ,2004,"11,300",9
00822100,008221,UNIVERSAL TECHNICAL INSTITUTE,AZ,2004,"11,023,540","4,900"
02559000,017188,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,2004,"819,448",348
00108300,001083,UNIVERSITY OF ARIZONA (THE),AZ,2004,"18,790,760","6,976"
02098800,014593,UNIVERSITY OF PHOENIX,AZ,2004,"108,311,427","55,824"
02171500,014970,WESTERN INTERNATIONAL UNIVERSITY,AZ,2004,"773,541",377
00107900,001079,YAVAPAI COLLEGE,AZ,2004,"2,949,062","1,448"
03662400,036624,ACADEMY EDUCATION SERVICES,CA,2004,"239,213",103
00753100,007531,ACADEMY OF ART UNIVERSITY,CA,2004,"3,893,851","1,771"
03098700,030987,ACADEMY OF COURT REPORTING - ACADEMY OF PROFESSIONAL CAREERS,CA,2004,"3,377,686","1,319"
02342400,023424,ACADEMY OF RADIO & TV BROADCASTING,CA,2004,"233,188",105
00760500,007605,ACADEMY PACIFIC TRAVEL COLLEGE,CA,2004,"453,132",161
03019900,030199,ADELANTE CAREER INSTITUTE,CA,2004,"481,674",198
02520400,016897,ADRIANS BEAUTY COLLEGE OF TURLOCK,CA,2004,"101,459",37
03736300,037363,ADVANCE BEAUTY COLLEGE,CA,2004,"542,151",219
03786300,037863,ADVANCED COLLEGE,CA,2004,"33,903",27
02258600,014046,ALAMEDA BEAUTY COLLEGE,CA,2004,"246,269",89
02282300,014260,ALHAMBRA BEAUTY COLLEGE,CA,2004,"543,479",202
00111100,001111,ALLAN HANCOCK COLLEGE,CA,2004,"3,336,939","1,522"
01111700,011117,ALLIANT INTERNATIONAL UNIVERSITY,CA,2004,"508,237",184
02106900,014801,AMERICAN ACADEMY OF DRAMATIC ARTS-WEST,CA,2004,"202,200",69
01307400,013074,AMERICAN BEAUTY COLLEGE,CA,2004,"100,852",42
02241800,015829,AMERICAN CAREER COLLEGE,CA,2004,"7,077,006","2,903"
03144400,031444,AMERICAN COLLEGE OF HEALTH PROFESSIONS,CA,2004,"202,925",70
03138400,031384,AMERICAN COLLEGE OF MEDICAL TECHNOLOGY,CA,2004,"942,791",388
02099200,014545,AMERICAN CONSERVATORY THEATER FOUNDATION,CA,2004,"6,250",2
03225300,032253,AMERICAN INSTITUTE OF HEALTH SCIENCES,CA,2004,"268,014",101
00123200,001232,AMERICAN RIVER COLLEGE,CA,2004,"12,211,558","5,141"
00111300,001113,ANTELOPE VALLEY COLLEGE,CA,2004,"6,176,131","2,996"
03427500,034275,ANTELOPE VALLEY MEDICAL COLLEGE,CA,2004,"489,528",222
00111600,001116,ART CENTER COLLEGE OF DESIGN,CA,2004,"2,366,196",747
00723600,007236,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,2004,"6,530,161","2,678"
02327600,016471,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,2004,"1,511,414",633
02595600,025956,ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE,CA,2004,"389,558",138
00902200,013988,ASSOCIATED TECHNICAL COLLEGE,CA,2004,"2,066,437",651
02553100,017134,ASSOCIATED TECHNICAL COLLEGE,CA,2004,"42,400",13
02553500,017135,ASSOCIATED TECHNICAL COLLEGE -,CA,2004,"416,245",157
03598300,035983,AVALON BEAUTY COLLEGE,CA,2004,"125,944",50
02519800,016894,AVANCE BEAUTY COLLEGE,CA,2004,"141,575",48
00111700,001117,AZUSA PACIFIC UNIVERSITY,CA,2004,"2,628,601","1,162"
00111800,001118,BAKERSFIELD COLLEGE,CA,2004,"15,801,133","7,316"
03067400,030674,BALDWIN PARK ADULT SCHOOL,CA,2004,"278,806",159
00111900,001119,BARSTOW COMMUNITY COLLEGE,CA,2004,"2,901,202","1,328"
00705000,007050,BAY VISTA COLLEGE OF BEAUTY,CA,2004,"402,872",151
00112100,001121,BETHANY COLLEGE OF THE ASSEMBLIES OF GOD,CA,2004,"619,229",260
03266300,032663,BETHESDA CHRISTIAN UNIVERSITY,CA,2004,"109,074",41
00112200,001122,BIOLA UNIVERSITY,CA,2004,"2,045,234",840
02065500,013703,BROOKS COLLEGE,CA,2004,"3,459,371","1,590"
00112300,001123,BROOKS INSTITUTE OF PHOTOGRAPHY -,CA,2004,"2,035,613",785
02543400,017050,BROWNSON TECHNICAL SCHOOL,CA,2004,"150,736",60
00716400,007164,BRYAN COLLEGE OF COURT REPORTING,CA,2004,"238,578",124
00449400,004494,BRYMAN COLLEGE,CA,2004,"2,863,060","1,400"
00760600,007606,BRYMAN COLLEGE,CA,2004,"2,294,051","1,212"
00809000,008090,BRYMAN COLLEGE,CA,2004,"2,598,416","1,251"
01102400,011024,BRYMAN COLLEGE,CA,2004,"4,041,123","1,953"
01110700,011107,BRYMAN COLLEGE,CA,2004,"1,939,254","1,101"
01110900,011109,BRYMAN COLLEGE,CA,2004,"2,185,976","1,015"
01112100,011121,BRYMAN COLLEGE,CA,2004,"3,851,769","2,210"
01112300,011123,BRYMAN COLLEGE,CA,2004,"3,662,336","1,776"
01206100,012061,BRYMAN COLLEGE,CA,2004,"1,891,269","1,054"
03072300,030723,BRYMAN COLLEGE,CA,2004,"2,515,289","1,185"
03195400,031954,BRYMAN COLLEGE,CA,2004,"654,699",319
00807300,006972,BUTTE COLLEGE,CA,2004,"8,874,169","3,796"
00112400,001124,CABRILLO COLLEGE,CA,2004,"4,349,373","1,989"
00112500,001125,CALIFORNIA BAPTIST UNIVERSITY,CA,2004,"1,896,097",826
02065700,013828,CALIFORNIA BEAUTY COLLEGE,CA,2004,"162,249",54
02520200,016896,CALIFORNIA CAREER SCHOOL,CA,2004,"63,768",28
00884400,014128,CALIFORNIA CHRISTIAN COLLEGE,CA,2004,"110,069",41
00112700,001127,CALIFORNIA COLLEGE OF THE ARTS,CA,2004,"1,022,792",423
03698400,036984,CALIFORNIA COLLEGE OF VOCATIONAL CAREERS,CA,2004,"233,319",93
02110800,014683,CALIFORNIA COLLEGE SAN DIEGO,CA,2004,"376,806",169
02086400,013500,CALIFORNIA COSMETOLOGY COLLEGE,CA,2004,"25,011",17
02220200,015698,CALIFORNIA CULINARY ACADEMY,CA,2004,"2,148,219",843
03125400,031254,CALIFORNIA DESIGN COLLEGE,CA,2004,"826,937",320
01186500,011865,CALIFORNIA HAIR DESIGN ACADEMY,CA,2004,"299,982",125
03681300,036813,CALIFORNIA HEALING ARTS COLLEGE,CA,2004,"108,192",68
01215400,012154,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,CA,2004,"39,258",20
00113100,001131,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,2004,"415,834",158
00113200,001132,CALIFORNIA INSTITUTE OF THE ARTS,CA,2004,"757,680",254
03633300,036333,CALIFORNIA LEARNING CENTER,CA,2004,"415,734",147
00113300,001133,CALIFORNIA LUTHERAN UNIVERSITY,CA,2004,"737,656",341
00113400,001134,CALIFORNIA MARITIME ACADEMY,CA,2004,"489,787",163
00114300,001143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,2004,"8,629,959","3,232"
03210300,032103,CALIFORNIA SCHOOL OF CULINARY ARTS,CA,2004,"2,715,784","1,073"
00114400,001144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,2004,"18,648,055","6,469"
