OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
00105900,001059,LAWSON STATE COMMUNITY COLLEGE,AL,Public 2 Year,"1,953","5,414,362"
00105901,005704,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,Public 2 Year,970,"1,728,192"
00898800,008988,LURLEEN B. WALLACE COMMUNITY COLLEGE,AL,Public 2 Year,887,"2,257,112"
00102600,001026,MARION MILITARY INSTITUTE,AL,Private 2 Year,68,"176,222"
00102800,001028,MILES COLLEGE,AL,Private 4 Year,"1,665","4,887,976"
00103100,001031,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,Public 2 Year,"1,317","3,029,286"
00569700,005697,NORTHWEST-SHOALS COMMUNITY COLLEGE,AL,Public 2 Year,"2,304","5,766,259"
00103300,001033,OAKWOOD COLLEGE,AL,Private 4 Year,809,"2,338,045"
02296000,016217,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,Proprietary,46,"118,211"
00569200,005692,REID STATE TECHNICAL COLLEGE,AL,Public 2 Year,548,"951,945"
02605500,026055,REMINGTON COLLEGE - MOBILE CAMPUS,AL,Proprietary,"3,336","6,810,114"
00103600,001036,SAMFORD UNIVERSITY,AL,Private 4 Year,402,"992,851"
00569100,005691,SHELTON STATE COMMUNITY COLLEGE,AL,Public 2 Year,"3,052","7,363,720"
00103800,001038,SNEAD STATE COMMUNITY COLLEGE,AL,Public 2 Year,"1,069","2,502,661"
02270400,013857,SOUTHEASTERN BIBLE COLLEGE,AL,Private 4 Year,118,"314,439"
03459300,034593,SOUTHEASTERN SCHOOL OF COSMETOLOGY,AL,Private 2 Year,182,"456,004"
02503400,016885,SOUTHERN CHRISTIAN UNIVERSITY,AL,Private 4 Year,253,"642,764"
01123700,011237,SOUTHERN COMMUNITY COLLEGE,AL,Private 2 Year,119,"265,343"
00104000,001040,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,Public 2 Year,"1,827","4,555,328"
00104100,001041,SPRING HILL COLLEGE,AL,Private 4 Year,343,"926,364"
00104400,001044,STILLMAN COLLEGE,AL,Private 4 Year,860,"2,536,000"
00104600,001046,TALLADEGA COLLEGE,AL,Private 4 Year,283,"849,626"
00104700,001047,TROY STATE UNIVERSITY,AL,Public 4 Year,"7,145","17,609,000"
00105000,001050,TUSKEGEE UNIVERSITY,AL,Private 4 Year,"1,229","3,686,806"
02170600,021706,UNITED STATES SPORTS ACADEMY,AL,Private 4 Year,17,"21,522"
00105100,001051,UNIVERSITY OF ALABAMA,AL,Public 4 Year,"3,914","10,492,077"
00105200,001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,Public 4 Year,"3,704","9,423,616"
00105500,001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,Public 4 Year,"1,420","3,657,914"
00102900,001029,UNIVERSITY OF MOBILE,AL,Private 4 Year,798,"2,009,412"
00100400,001004,UNIVERSITY OF MONTEVALLO,AL,Public 4 Year,758,"2,018,511"
00101600,001016,UNIVERSITY OF NORTH ALABAMA,AL,Public 4 Year,"1,603","4,173,173"
00105700,001057,UNIVERSITY OF SOUTH ALABAMA,AL,Public 4 Year,"3,492","9,113,339"
00102400,001024,UNIVERSITY OF WEST ALABAMA,AL,Public 4 Year,882,"2,498,103"
03010600,030106,VIRGINIA COLLEGE,AL,Proprietary,"7,041","15,405,244"
03065100,030651,ARKADELPHIA BEAUTY COLLEGE,AR,Proprietary,46,"120,868"
00108700,001087,ARKANSAS BAPTIST COLLEGE,AR,Private 4 Year,176,"512,131"
03005100,030051,ARKANSAS BEAUTY SCHOOL,AR,Proprietary,70,"141,038"
03007600,030076,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,Proprietary,57,"96,660"
03292300,032923,ARKANSAS CAREER TRAINING INSTITUTE,AR,Public 2 Year,35,"45,092"
03023400,030234,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,Proprietary,107,"282,882"
01286000,012860,ARKANSAS NORTHEASTERN COLLEGE,AR,Public 2 Year,"1,194","2,906,742"
00109000,001090,ARKANSAS STATE UNIVERSITY,AR,Public 4 Year,"5,804","15,210,969"
00109100,001091,ARKANSAS STATE UNIVERSITY - BEEBE,AR,Public 2 Year,"1,135","2,772,325"
00108900,001089,ARKANSAS TECH UNIVERSITY,AR,Public 4 Year,"2,915","7,621,538"
02363500,015099,ARTHUR'S BEAUTY COLLEGE,AR,Proprietary,79,"167,593"
02538500,017020,ARTHUR'S BEAUTY COLLEGE,AR,Proprietary,322,"668,187"
03127200,031272,ASKINS VO TECH,AR,Proprietary,9,"12,368"
03105200,031052,BAPTIST HEALTH MEDICAL CENTER,AR,Private 2 Year,414,"835,748"
02260400,014554,BEE JAY'S HAIRSTYLING ACADEMY,AR,Proprietary,28,"49,221"
02052200,011948,BLACK RIVER TECHNICAL COLLEGE,AR,Public 2 Year,"1,153","2,678,573"
03212300,032123,BLYTHEVILLE ACADEMY OF COSMETOLOGY,AR,Proprietary,29,"74,470"
02341700,016596,CAREER ACADEMY OF HAIR DESIGN,AR,Proprietary,67,"138,097"
00109300,001093,CENTRAL BAPTIST COLLEGE,AR,Private 4 Year,155,"390,129"
02220900,012432,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,Public 2 Year,514,"1,330,896"
03912300,039123,CROSSETT SCHOOL OF COSMETOLOGY,AR,Proprietary,11,"26,784"
00109500,001095,CROWLEY'S RIDGE COLLEGE,AR,Private 2 Year,79,"222,399"
00704400,013583,CROWLEY'S RIDGE TECHNICAL INSTITUTE,AR,Public 2 Year,318,"753,827"
03116800,031168,DELUXE BEAUTY SCHOOL,AR,Proprietary,18,"48,655"
01226000,012260,EAST ARKANSAS COMMUNITY COLLEGE,AR,Public 2 Year,928,"2,222,927"
02272400,016041,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,Proprietary,683,"1,374,003"
03124900,031249,EATON BEAUTY STYLIST COLLEGE,AR,Proprietary,18,"38,614"
03855300,038553,ECCLESIA COLLEGE,AR,Private 4 Year,11,"35,525"
00792100,008070,FAYETTEVILLE BEAUTY COLLEGE,AR,Proprietary,47,"104,687"
00109700,001097,HARDING UNIVERSITY,AR,Private 4 Year,"1,313","3,638,396"
00109800,001098,HENDERSON STATE UNIVERSITY,AR,Public 4 Year,"1,580","4,280,375"
00109900,001099,HENDRIX COLLEGE,AR,Private 4 Year,217,"588,513"
03007100,030071,HOT SPRINGS BEAUTY COLLEGE,AR,Proprietary,71,"181,686"
02330800,016498,JEFFERSON SCHOOL OF NURSING,AR,Private 2 Year,55,"98,256"
00110000,001100,JOHN BROWN UNIVERSITY,AR,Private 4 Year,550,"1,363,159"
02525800,016925,LEES SCHOOL OF COSMETOLOGY,AR,Proprietary,41,"92,998"
03519400,035194,LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL,AR,Proprietary,28,"81,937"
00108800,001088,LYON COLLEGE,AR,Private 4 Year,227,"612,657"
03254300,032543,MARGARET'S  HAIR ACADEMY,AR,Proprietary,45,"98,076"
02287400,016123,MARSHA KAY BEAUTY COLLEGE,AR,Proprietary,25,"69,543"
01074100,010741,MELLIE'S BEAUTY COLLEGE,AR,Proprietary,36,"60,932"
02348200,015862,MID-SOUTH COMMUNITY COLLEGE,AR,Public 2 Year,795,"1,678,523"
01210500,012105,NATIONAL PARK COMMUNITY COLLEGE,AR,Public 2 Year,"1,317","3,063,553"
02284200,016053,NEW TYLER BARBER COLLEGE,AR,Proprietary,100,"279,260"
01226100,012261,NORTH ARKANSAS COLLEGE,AR,Public 2 Year,"1,260","3,173,465"
03688300,036883,NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER,AR,Private 2 Year,65,"149,664"
03063300,030633,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,Public 2 Year,"1,224","2,430,253"
02073700,014044,NORTHWEST TECHNICAL INSTITUTE,AR,Public 2 Year,200,"345,114"
00110200,001102,OUACHITA BAPTIST UNIVERSITY,AR,Private 4 Year,403,"1,081,814"
00997600,009976,OUACHITA TECHNICAL COLLEGE,AR,Public 2 Year,474,"1,094,837"
02087000,013217,OZARKA COLLEGE,AR,Public 2 Year,647,"1,648,050"
00110300,001103,PHILANDER SMITH COLLEGE,AR,Private 4 Year,783,"2,252,762"
00110400,001104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,Public 2 Year,"1,229","3,109,360"
02202400,015585,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,Proprietary,60,"149,446"
02075300,014167,PULASKI TECHNICAL COLLEGE,AR,Public 2 Year,"4,761","12,057,583"
02111100,012435,RICH MOUNTAIN COMMUNITY COLLEGE,AR,Public 2 Year,439,"1,068,921"
02569600,017262,SEARCY BEAUTY COLLEGE,AR,Proprietary,83,"199,946"
02074600,013858,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,Public 2 Year,725,"1,714,416"
00570700,014893,SOUTHEAST ARKANSAS COLLEGE,AR,Public 2 Year,"1,271","3,236,951"
00110700,001107,SOUTHERN ARKANSAS UNIVERSITY,AR,Public 4 Year,"1,456","4,065,456"
00773800,007738,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,Public 2 Year,395,"980,591"
00110800,001108,UNIVERSITY OF ARKANSAS,AR,Public 4 Year,"3,281","8,661,492"
00111000,001110,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,Public 4 Year,"2,890","6,928,420"
00110100,001101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,Public 4 Year,"4,445","11,056,596"
00108500,001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,Public 4 Year,"1,771","4,791,183"
00108600,001086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,Public 4 Year,"2,390","7,257,166"
02073500,014042,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,Public 2 Year,"1,039","2,542,267"
00573200,005732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,Public 2 Year,686,"1,663,017"
00524500,005245,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,Public 2 Year,"1,029","2,305,051"
00110900,001109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,Public 4 Year,267,"762,786"
00109200,001092,UNIVERSITY OF CENTRAL ARKANSAS,AR,Public 4 Year,"3,569","9,399,192"
00109400,001094,UNIVERSITY OF THE OZARKS,AR,Private 4 Year,192,"507,005"
03214300,032143,VELVATEX COLLEGE OF BEAUTY CULTURE,AR,Proprietary,21,"51,722"
00110600,001106,WILLIAMS BAPTIST COLLEGE,AR,Private 4 Year,324,"828,487"
01001000,010010,AMERICAN SAMOA COMMUNITY COLLEGE,AS,Public 2 Year,"1,068","2,606,727"
02199900,015550,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD,AZ,Private 4 Year,55,"141,059"
02317800,016405,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,Proprietary,524,"842,487"
02100600,014550,APOLLO COLLEGE,AZ,Proprietary,"3,543","8,072,049"
00886400,008864,ARIZONA ACADEMY OF BEAUTY,AZ,Proprietary,82,"186,906"
01180200,011802,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,Proprietary,82,"197,427"
01084700,010847,ARIZONA AUTOMOTIVE INSTITUTE,AZ,Proprietary,934,"2,264,557"
03115000,031150,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,Proprietary,355,"655,378"
00108100,001081,ARIZONA STATE UNIVERSITY,AZ,Public 4 Year,"12,567","31,810,302"
00107100,001071,ARIZONA WESTERN COLLEGE,AZ,Public 2 Year,"2,783","6,170,250"
02491500,016730,ART CENTER DESIGN COLLEGE (THE),AZ,Proprietary,402,"970,693"
01180800,011808,ARTISTIC BEAUTY COLLEGES - FLAGSTAFF,AZ,Proprietary,323,"688,246"
02220300,015694,ARTISTIC BEAUTY COLLEGES - GLENDALE,AZ,Proprietary,203,"462,753"
01234300,012343,ARTISTIC BEAUTY COLLEGES - PHOENIX,AZ,Proprietary,245,"541,704"
01293700,012937,ARTISTIC BEAUTY COLLEGES - SCOTTSDALE,AZ,Proprietary,56,"132,724"
00886500,008865,ARTISTIC BEAUTY COLLEGES - TUCSON,AZ,Proprietary,321,"702,253"
03076400,030764,BRYMAN SCHOOL (THE) - PHOENIX,AZ,Proprietary,"5,583","13,246,091"
03097800,030978,CARSTEN INSTITUTE,AZ,Proprietary,117,"242,649"
00728300,007283,CENTRAL ARIZONA COLLEGE,AZ,Public 2 Year,"1,615","3,411,149"
03072200,030722,CHANDLER-GILBERT COMMUNITY COLLEGE,AZ,Public 2 Year,"1,173","2,291,754"
00945100,009451,CHAPARRAL COLLEGE,AZ,Proprietary,444,"1,112,649"
02280500,016098,CHARLES OF ITALY BEAUTY COLLEGE,AZ,Proprietary,77,"179,666"
00107200,001072,COCHISE COLLEGE,AZ,Public 2 Year,"1,968","4,453,042"
03100400,031004,COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF,AZ,Public 2 Year,752,"1,574,157"
03120300,031203,COLLEGE AMERICA - FLAGSTAFF,AZ,Proprietary,213,"631,020"
02174900,015333,COLLINS COLLEGE,AZ,Proprietary,"1,519","3,895,856"
03034400,030344,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,Proprietary,299,"679,927"
02582700,025827,DESERT INSTITUTE OF THE HEALING ARTS,AZ,Proprietary,99,"202,546"
02173300,015324,DEVOE COLLEGE OF BEAUTY,AZ,Proprietary,52,"97,956"
00824600,008246,DINE COLLEGE,AZ,Public 2 Year,"1,375","2,411,568"
01085800,010858,EARL'S ACADEMY OF BEAUTY,AZ,Proprietary,182,"465,325"
03572300,035723,EAST VALLEY INSTITUTE OF TECHNOLOGY,AZ,Public 2 Year,32,"45,586"
00107300,001073,EASTERN ARIZONA COLLEGE,AZ,Public 2 Year,"1,124","2,736,299"
03156300,031563,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,Public 2 Year,"1,714","3,101,154"
02295000,016203,EVEREST COLLEGE,AZ,Proprietary,967,"1,751,922"
00830300,008303,GATEWAY COMMUNITY COLLEGE,AZ,Public 2 Year,"2,423","4,469,389"
00107600,001076,GLENDALE COMMUNITY COLLEGE,AZ,Public 2 Year,"4,723","8,973,246"
00107400,001074,GRAND CANYON UNIVERSITY,AZ,Proprietary,553,"1,267,596"
03445300,034453,HDS TRUCK DRIVING INSTITUTE,AZ,Proprietary,107,"237,065"
02263100,015988,HIGH-TECH INSTITUTE - PHOENIX,AZ,Proprietary,"5,731","13,895,583"
01218400,014283,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,Proprietary,101,"219,862"
03347300,033473,INTERNATIONAL BAPTIST COLLEGE,AZ,Private 4 Year,26,"75,300"
02218800,015681,INTERNATIONAL INSTITUTE OF THE AMERICAS,AZ,Private 4 Year,"2,215","6,137,220"
02521500,005186,LAMSON COLLEGE,AZ,Proprietary,236,"455,429"
02071200,013884,LONG TECHNICAL COLLEGE,AZ,Proprietary,444,"1,115,981"
02181300,015391,LONG TECHNICAL COLLEGE,AZ,Proprietary,198,"485,059"
02192300,015491,MARICOPA BEAUTY COLLEGE,AZ,Proprietary,43,"94,962"
00107700,001077,MESA COMMUNITY COLLEGE,AZ,Public 2 Year,"6,028","11,637,811"
03081200,030812,METROPOLITAN COLLEGE,AZ,Private 4 Year,84,"217,967"
01186400,011864,MOHAVE COMMUNITY COLLEGE,AZ,Public 2 Year,"1,893","4,261,836"
02100500,014518,"MOTORCYCLE MECHANICS INSTITUTE, DIVISION OF CLINTON TECHNICAL INSTITUT",AZ,Proprietary,"3,320","8,169,779"
03004700,030047,MUNDUS INSTITUTE,AZ,Proprietary,52,"126,762"
03813300,038133,NORTHCENTRAL UNIVERSITY,AZ,Proprietary,35,"41,831"
00108200,001082,NORTHERN ARIZONA UNIVERSITY,AZ,Public 4 Year,"4,645","12,320,332"
01186200,011862,NORTHLAND PIONEER COLLEGE,AZ,Public 2 Year,892,"1,881,617"
02623600,026236,PARADISE VALLEY COMMUNITY COLLEGE,AZ,Public 2 Year,"1,566","2,903,114"
00107800,001078,PHOENIX COLLEGE,AZ,Public 2 Year,"3,506","7,432,865"
02623800,026238,PHOENIX THERAPEUTIC MASSAGE COLLEGE,AZ,Proprietary,124,"272,987"
00726600,007266,PIMA COUNTY COMMUNITY COLLEGE,AZ,Public 2 Year,"8,109","18,426,880"
02217100,015666,PIMA MEDICAL INSTITUTE,AZ,Proprietary,"4,511","10,808,003"
02065300,013659,PRESCOTT COLLEGE,AZ,Private 4 Year,368,"826,663"
02177500,014483,RIO SALADO COMMUNITY COLLEGE,AZ,Public 2 Year,"2,508","3,441,393"
02113800,014740,ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,Proprietary,16,"29,625"
03005000,030050,SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,Proprietary,76,"224,227"
00830400,008304,SCOTTSDALE COMMUNITY COLLEGE,AZ,Public 2 Year,"1,778","3,444,478"
02616700,026167,SCOTTSDALE CULINARY INSTITUTE,AZ,Proprietary,"1,120","2,845,292"
02146600,015001,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,Public 2 Year,"1,669","3,254,267"
03593300,035933,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,Proprietary,90,"160,355"
00711300,007113,SOUTHWESTERN COLLEGE,AZ,Private 4 Year,97,"260,893"
01168900,014127,THE REFRIGERATION SCHOOL,AZ,Proprietary,267,"589,396"
03784400,037844,TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,Private 2 Year,58,"127,977"
02561900,025619,TONI AND GUY HAIRDRESSING ACADEMY,AZ,Proprietary,137,"284,943"
00446700,014212,TUCSON COLLEGE,AZ,Proprietary,380,"849,215"
03740500,037405,TUCSON DESIGN COLLEGE,AZ,Proprietary,103,"230,879"
03814300,038143,TURNING POINT BEAUTY COLLEGE,AZ,Proprietary,29,"71,837"
00822100,008221,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary,"5,239","11,927,871"
02559000,017188,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,Proprietary,403,"999,776"
00108300,001083,UNIVERSITY OF ARIZONA (THE),AZ,Public 4 Year,"6,953","18,610,534"
02098800,014593,UNIVERSITY OF PHOENIX,AZ,Proprietary,"61,192","128,703,164"
02171500,014970,WESTERN INTERNATIONAL UNIVERSITY,AZ,Proprietary,"18,498","35,763,988"
00107900,001079,YAVAPAI COLLEGE,AZ,Public 2 Year,"1,537","3,085,467"
03662400,036624,ACADEMY EDUCATION SERVICES,CA,Proprietary,120,"249,046"
00753100,007531,ACADEMY OF ART UNIVERSITY,CA,Proprietary,"1,890","4,351,543"
03098700,030987,ACADEMY OF COURT REPORTING,CA,Proprietary,"1,065","2,631,062"
02342400,023424,ACADEMY OF RADIO & TV BROADCASTING,CA,Proprietary,123,"304,304"
00760500,007605,ACADEMY PACIFIC TRAVEL COLLEGE,CA,Proprietary,175,"468,162"
03019900,030199,ADELANTE CAREER INSTITUTE,CA,Proprietary,168,"399,001"
03736300,037363,ADVANCE BEAUTY COLLEGE,CA,Proprietary,267,"612,035"
03786300,037863,ADVANCED COLLEGE,CA,Proprietary,81,"99,822"
02258600,014046,ALAMEDA BEAUTY COLLEGE,CA,Proprietary,92,"224,933"
02282300,014260,ALHAMBRA BEAUTY COLLEGE,CA,Proprietary,245,"603,504"
00111100,001111,ALLAN HANCOCK COLLEGE,CA,Public 2 Year,"1,441","3,205,538"
01111700,011117,ALLIANT INTERNATIONAL UNIVERSITY,CA,Private 4 Year,123,"341,919"
02106900,014801,AMERICAN ACADEMY OF DRAMATIC ARTS-WEST,CA,Private 2 Year,89,"257,600"
01307400,013074,AMERICAN BEAUTY COLLEGE,CA,Proprietary,52,"134,881"
02241800,015829,AMERICAN CAREER COLLEGE,CA,Proprietary,"3,014","7,272,966"
03144400,031444,AMERICAN COLLEGE OF HEALTH PROFESSIONS,CA,Proprietary,77,"187,903"
03138400,031384,AMERICAN COLLEGE OF MEDICAL TECHNOLOGY,CA,Proprietary,421,"1,013,902"
02099200,014545,AMERICAN CONSERVATORY THEATER FOUNDATION,CA,Private 4 Year,2,"6,750"
03225300,032253,AMERICAN INSTITUTE OF HEALTH SCIENCES,CA,Proprietary,85,"205,300"
03722300,037223,AMERICAN MEDICAL SCIENCES CENTER,CA,Proprietary,5,"10,125"
00123200,001232,AMERICAN RIVER COLLEGE,CA,Public 2 Year,"6,072","13,595,968"
00111300,001113,ANTELOPE VALLEY COLLEGE,CA,Public 2 Year,"3,548","7,365,946"
03427500,034275,ANTELOPE VALLEY MEDICAL COLLEGE,CA,Proprietary,384,"976,193"
00111600,001116,ART CENTER COLLEGE OF DESIGN,CA,Private 4 Year,743,"2,310,156"
00723600,007236,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,Proprietary,"3,076","7,519,075"
02327600,016471,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,Proprietary,841,"2,007,146"
02595600,025956,ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE,CA,Proprietary,154,"438,748"
00902200,013988,ASSOCIATED TECHNICAL COLLEGE,CA,Proprietary,652,"2,207,827"
02553500,017135,ASSOCIATED TECHNICAL COLLEGE -,CA,Proprietary,86,"229,944"
03740400,037404,ATI COLLEGE,CA,Proprietary,7,"9,317"
03598300,035983,AVALON BEAUTY COLLEGE,CA,Proprietary,40,"124,692"
02519800,016894,AVANCE BEAUTY COLLEGE,CA,Proprietary,59,"168,389"
00111700,001117,AZUSA PACIFIC UNIVERSITY,CA,Private 4 Year,"1,036","2,258,419"
00111800,001118,BAKERSFIELD COLLEGE,CA,Public 2 Year,"7,719","16,726,050"
03067400,030674,BALDWIN PARK ADULT SCHOOL,CA,Public 2 Year,142,"116,451"
00111900,001119,BARSTOW COMMUNITY COLLEGE,CA,Public 2 Year,"1,162","2,582,820"
00705000,007050,BAY VISTA COLLEGE OF BEAUTY,CA,Proprietary,182,"472,272"
00112100,001121,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,CA,Private 4 Year,260,"619,373"
03266300,032663,BETHESDA CHRISTIAN UNIVERSITY,CA,Private 4 Year,31,"97,060"
00112200,001122,BIOLA UNIVERSITY,CA,Private 4 Year,857,"2,090,949"
02065500,013703,BROOKS COLLEGE,CA,Proprietary,"1,238","2,762,705"
00112300,001123,BROOKS INSTITUTE OF PHOTOGRAPHY -,CA,Proprietary,"1,041","2,894,083"
02543400,017050,BROWNSON TECHNICAL SCHOOL,CA,Proprietary,63,"135,309"
00716400,007164,BRYAN COLLEGE OF COURT REPORTING,CA,Proprietary,163,"350,145"
00760600,007606,BRYMAN COLLEGE,CA,Proprietary,978,"1,785,400"
00809000,008090,BRYMAN COLLEGE,CA,Proprietary,"1,486","3,177,677"
01102400,011024,BRYMAN COLLEGE,CA,Proprietary,"2,532","4,872,587"
01110700,011107,BRYMAN COLLEGE,CA,Proprietary,882,"1,591,694"
01110900,011109,BRYMAN COLLEGE,CA,Proprietary,808,"1,683,845"
01112100,011121,BRYMAN COLLEGE,CA,Proprietary,"1,595","2,728,447"
01112300,011123,BRYMAN COLLEGE,CA,Proprietary,"1,870","3,750,422"
03195400,031954,BRYMAN COLLEGE,CA,Proprietary,319,"617,790"
